sentence,translated,fuel,machine,others,part,price,service
toyota menang harga nya kalo nantinya mau dijual,toyota menang regane yen mengkone arep didol,neutral,neutral,neutral,neutral,positive,neutral
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,all new toyota kijang innova g diesel 2017 . mesin bandel kang  irit otolovers .,positive,positive,neutral,neutral,neutral,neutral
"Khusus nya Daihatsu Xenia Sporty Manual , apalagi yang terbaru ini , di samping irit bbm , suara mesin halus . Tarikan lebih baik dari generasi sebelumnya dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai .","mligine daihatsu xenia sporty manual , apa maneh kang paling anyar iki , ing ngiringan irit bbm , swara mesin alus . tarikan luwih apik saka generasi sadurunge lan akselerasi cukup becik  lan variasi ora pati ajeg utawa rame .",positive,positive,neutral,positive,neutral,neutral
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,kanggo kang saiki great new xenia wis nduweni fasilitas kang wow karo rega kang kekancan malah luwih murah daripada rivale,neutral,neutral,neutral,positive,positive,neutral
"punya mobil altis tidak awet , baru setahun sudah rusak .","nduwe mobil altis ora awet , anyar sataun wis rusak .",neutral,neutral,negative,neutral,neutral,neutral
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,xenia ku tipe xi wis 1.5 taun lan cukup bungah karo performane,neutral,positive,neutral,neutral,neutral,neutral
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,","service rutin menyang bengkel daihatsu resmi ora jaminan uga , rem ku blong wayah dalan ,",neutral,neutral,neutral,neutral,neutral,negative
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .","aku anggo karimun , adhi aku anggo brio . pancen karimun luwih kepenak sanadyan luwih murah saka brio .",neutral,neutral,positive,neutral,positive,neutral
bodi plus tampilan nya Avanza baru mantap juragan,bodi plus tampilane avanza anyar mantep juragan,neutral,neutral,neutral,positive,neutral,neutral
Sudah dari dulu Toyota selalu kasih produk super mahal dengan fitur pas pasan,wis saka dhisik toyota tansah asih produk super larang karo fitur trep pasan,neutral,neutral,neutral,negative,negative,neutral
"udah gaya nya stylish ekonomis pula, beli calya deh","wis gayane stylish ekonomis uga, tuku calya deh",neutral,neutral,neutral,positive,positive,neutral
avanza ini mobil saya yang paling bandel,avanza iki mobil aku kang paling bandel,neutral,positive,neutral,neutral,neutral,neutral
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,mobil kualitas elek kaya wuling wae mlebu indonesia.,neutral,neutral,negative,neutral,neutral,neutral
Pelayanan bengkel daihatsu bagus,pelayanan bengkel daihatsu apik,neutral,neutral,neutral,neutral,neutral,positive
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .","aku  nduwe xenia xi , dasbor nabrak wit , sawise rong dina didandani ing servis resmi daihatsu , langsung dadi kaya anyar maneh , keren .",neutral,neutral,neutral,neutral,neutral,positive
"fortuner per nya keras , capek","fortuner pere keras , kesel",neutral,neutral,neutral,negative,neutral,neutral
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .","luwih apik mobil esemka , mobil nasiyonal asli gawean jero negeri , rega terjangkau , irit bbm mesine uga tangguh .",positive,positive,positive,neutral,positive,neutral
"ya begitu itu Nissan , memang agak mahal tetapi daya tahan nya bagus .","ya mangkono iku nissan , pancen rada larang nanging daya tahane apik .",neutral,neutral,positive,neutral,negative,neutral
fortuner gak cocok buat mahasiswa dari segi desain yang terlalu mencolok dan mahal pula,fortuner ora cocog gawe mahasiswa saka segi desain kang terlalu nyolok lan larang uga,neutral,neutral,neutral,negative,neutral,neutral
Servis di Bengkel Toyota Lebih cepat,servis ing bengkel toyota luwih cepet,neutral,neutral,neutral,neutral,neutral,positive
Honda Spacy irit banget sumpah,honda spacy irit banget sumpah,positive,neutral,neutral,neutral,neutral,neutral
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,ora bisa turu yen wengi-wengi ing mobil amarga swara ace rame banget,neutral,neutral,neutral,negative,neutral,neutral
"Ih bengkel honda ini picik banget ya , masa iya aki motor gue ditukar sama yang jelek biar gak bisa hidup terus ada keluhan terus ke sana lagi gitu","ih bengkel honda iki picik banget ya , apa iya aki montor aku  ditukar padha kang elek ben ora bisa urip terus ana keluhan terus mrana maneh ngono",neutral,neutral,neutral,neutral,neutral,negative
"dari segi kenyamanan cortez oke lah, tapi bahan bakar nya itu loh boros banget","saka segi kenyamanan cortez oke lah, nanging bahan bakare iku loh boros banget",negative,neutral,positive,neutral,neutral,neutral
"jujur saja inden nya lama banget dari dealer , sudah 1 bulan belum datang juga","jujur wae indene suwe banget saka dealer , wis 1 sasi durung teka uga",neutral,neutral,neutral,neutral,neutral,negative
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,numpang gabung ya nembe tuku xenia 04 -2008 3 dina kang rumiyin sakabehe aku  ngerasa cukup .,neutral,neutral,positive,neutral,neutral,neutral
setuju banget kalau jazz lebih keren dan mantap daripada mobilio,setuju banget yen jazz luwih keren lan mantep daripada mobilio,neutral,neutral,negative,neutral,neutral,neutral
"Masya Allah toyota mahal harga nya , tetapi pelit fitur-fitur","masya allah toyota larang regane , nanging pelit fitur-fitur",neutral,neutral,neutral,negative,negative,neutral
fortuner sparepart nya banyak dijual di mana-mana,fortuner spareparte akeh didol ing ngendi-ngendi,neutral,neutral,neutral,positive,neutral,neutral
"Alhamdullilah inden dari dealer wulling agustus awal mobil sudah datang , cepat .","alhamdullilah inden saka dealer wulling agustus wiwiting mobil wis teka , cepet .",neutral,neutral,neutral,neutral,neutral,positive
"Vario 125 sangat ringan dan nyaman dipakai untuk perempuan seperti saya , apalagi dibawa ke mana-mana sangat irit dan harga nya terjangkau dibandingkan motor honda yang lain .","vario 125 entheng banget lan kepenak dianggo kanggo wadon kaya aku , apa maneh digawa menyang ngendi-ngendi irit banget lan regane terjangkau dibandhingake montor honda kang liya .",positive,neutral,positive,neutral,positive,neutral
"Udah beli yg rush 2018 , alhamdulillah tidak ada penyesalan sampai saat ini dan insyaAllah seterusnya","wis tuku kang rush 2018 , alhamdulillah ora ana penyesalan tekan wektu iki lan insyaallah sakteruse",neutral,neutral,positive,neutral,neutral,neutral
handling mini cooper juara .,handling mini cooper juara .,neutral,neutral,neutral,positive,neutral,neutral
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,aku marem banget karo mobil aku saliyane berbadan gedhe katon mewah lan irit banget bahan obong amarga ombene solar dadi mantep kijang innova,positive,neutral,positive,positive,neutral,neutral
xenia gak awet banget masa baru 6 bulan sudah bermasalah,xenia ora awet banget masa anyar 6 sasi wis bermasalah,neutral,neutral,negative,neutral,neutral,neutral
lama banget nunggu inden xpander keburu saya jual ini mobil,suwe banget nunggu inden xpander keburu aku adol iki mobil,neutral,neutral,neutral,neutral,neutral,negative
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang","aku munggah mazda cx3 sadina-dina . performa mantep , mobil kepenak ora kaya honda hrv kang rada goyang-goyang",neutral,neutral,negative,neutral,neutral,neutral
"Avanza guncangan mesin nya halus meski di jalan yang tak mulus , AC enggak menurun meski dinyalakan tanpa henti , dan mesin enggak cepat panas berlebih meski macet bermenit-menit .","avanza guncangan mesine alus sanadyan ing ratan kang ora mulus , ac ora mudhun sanadyan diurubake tanpa henti , lan mesin ora cepet panas berlebih sanadyan macet bermenit-menit .",neutral,positive,neutral,positive,neutral,neutral
"Wuling Formo mobil cina, mesin nya enggak berumur panjang karena di cina juga enggak ada yang umur nya panjang.","wuling formo mobil cina, mesine ora umur dawa amarga ing cina uga ora ana kang umure dawa.",neutral,negative,neutral,neutral,neutral,neutral
"Mobil honda emang keren , saya punya honda CRV tahun 2006 sampai sekarang masih mulus ,","mobil honda emang keren , aku nduwe honda crv taun 2006 nganti saiki isih mulus ,",neutral,neutral,positive,neutral,neutral,neutral
"Honda slalu nanggung dan maksa tiap kali melakukan upgrade mobil yangg sudah ada , membosankan","honda slalu nanggung lan maksa saben kali nglakoni upgrade mobil yangg wis ana , mboseni",neutral,neutral,negative,neutral,neutral,neutral
Bengkel ahas togosari service nya tidak memuaskan mekanik nya gak fokus dan jelek . tidak seperti dulu . gimana itu bos .,bengkel ahas togosari servicene ora maremake mekanike ora fokus lan elek . ora kaya dhisik . priye iku bos .,neutral,neutral,neutral,neutral,neutral,negative
"Buat yang orientasi pengendara , Mitsubishi ini cocok banget mau mobil yang menyenangkan untuk dikendarai enak dibawa luar sama dalam kota","nggo kang orientasi pengendara , mitsubishi iki cocog banget arep mobil kang nyenengake kanggo dikendarai sekeca digawa jaba padha jroning kutha",neutral,neutral,positive,neutral,neutral,neutral
N - Max biaya perawatan mahal bakal lebih boros dari pada kamu naik angkutan umum,n -max ragad pangopenan larang bakal luwih boros daripada kowe munggah embret,neutral,neutral,neutral,neutral,neutral,negative
Fortuner lebih mewah lebih besar,fortuner luwih mewah luwih gedhe,neutral,neutral,positive,neutral,neutral,neutral
"@DaihatsuInd Xenia itu kita banget ! Cocok diajak ke mana-mana , service gampang , harga terjangkau , mudah dipakai .","@daihatsuind xenia iku awake dhewe banget ! cocog diajak menyang ngendi-ngendi , service gampang , rega terjangkau , gampang dianggo .",neutral,neutral,positive,neutral,positive,positive
Kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya kebanyakan jelek dan tanjakan nya full curam belom di aspal,geneya aku pilih pajero amarga aku asring mulih kampung wayah lebaran lan dalane akeh-akeh elek lan tanjakane full curam belom ing aspal,neutral,positive,neutral,neutral,neutral,neutral
"Konsumsi bbm bisa dipaksa 1:12 kalau bawa nya waras , lumayan irit si Altis G 2003 MT ini","konsumsi bbm bisa dipaksa 1:12 yen bawane waras , lumayan irit si altis g 2003 mt iki",positive,neutral,neutral,neutral,neutral,neutral
"harga purnajual memang Toyota lebih baik . tetapi ya orang macam gua mikir nya beli mobil ya buat dipakai , bukan dijual . Hehe","rega purnajual pancen toyota luwih apik . nanging ya wong macem gua mikire tuku mobil ya gawe dianggo , dudu didol . hehe",neutral,neutral,neutral,neutral,positive,neutral
"@YamahaIndonesia pelayanan bengkel yamaha di poso jelek sekali bung , hari kemarin bilang nyuruh hari ini , hari ini datang bilang tidak bisa","@yamahaindonesia pelayanan bengkel yamaha ing poso elek banget bung , dina wingi ngomong nyuruh dina iki , dina iki teka ngomong ora bisa",neutral,neutral,neutral,neutral,neutral,negative
"Saya membeli Honda Beat ini pada tahun 2015 , sudah tiga tahun lama nya umur motor ini . Saya bekerja dengan jarak tempuh lumayan jauh dari rumah saya , tetapi terbukti hingga saat ini sangat irit bbm - nya , di lain sisi ada dobel rem yang membuat sepeda ini menjadi luar biasa .","aku nuku honda beat iki ing taun 2015 , wis telung taun lawase umur montor iki . aku nyambut gawe karo jarak tempuh lumayan adoh saka omah aku , nanging kabukten nganti wektu iki irit banget bbm -e , ing seje sisih ana dobel rem kang nggawe sepedha iki dadi luarbiasa .",positive,neutral,neutral,positive,neutral,neutral
Head Lamp Avanza juga menggunakan model terbaru . Dengan perubahan tersebut mobil ini memiliki desain yang lebih elegan juragan .,head lamp avanza uga migunakake modhel paling anyar . karo owah-owahan kasebut mobil iki nduweni desain kang luwih elegan juragan .,neutral,neutral,neutral,positive,neutral,neutral
"saya menyesal beli mobilio, tetangga beli wuling cortez puas banget","aku menyesal tuku mobilio, tetangga tuku wuling cortez marem banget",neutral,neutral,positive,neutral,neutral,neutral
brio adalah salah satu mobil ekonomis untuk keluarga menengah,brio yaiku sawijining mobil ekonomis kanggo kulawarga menengah,neutral,neutral,neutral,neutral,positive,neutral
"kaki-kaki juga aman normal jaya . belum pernah ganti sparepart apa pun kecuali oli radiator dan filter , mantap brio","kaki-kaki uga aman normal jaya . durung tau genti sparepart apa wae kajaba oli radiator lan filter , mantep brio",neutral,neutral,neutral,positive,neutral,neutral
"Ada satu lagi nih yang menurut saya sepele tetapi jadi kenikmatan , yaitu fitur Brake Hold di HRV","ana siji maneh nih kang manut aku sepele nanging dadi kenikmatan , yaiku fitur brake hold ing hrv",neutral,neutral,neutral,positive,neutral,neutral
xpander terlihat seperti mobil tahun 2020,xpander katon kaya mobil taun 2020,neutral,neutral,positive,neutral,neutral,neutral
Toyota rush terbaik di kelas nya dan terdepan di zaman nya .,toyota rush paling apik ing kelase lan terdepan ing jamane .,neutral,neutral,positive,neutral,neutral,neutral
brio gak bagus sumpah .,brio ora apik sumpah .,neutral,neutral,negative,neutral,neutral,neutral
"Dipakai kerja tiap hari enggak pernah rewel , mesin bandel , sesuai dengan kebutuhan , BBM irit tiada banding .","dianggo nyambut gawe saben dina ora tau rewel , mesin bandel , jumbuh karo kabutuhan , bbm irit ora ana bandhing .",positive,positive,positive,neutral,neutral,neutral
mendingan Mitsubishi Xpander yang rata rata menang disegala aspek,mendingan mitsubishi xpander kang rata rata menang disegala aspek,neutral,neutral,positive,neutral,neutral,neutral
Kok bengkel toyota payah banget sih . Kata nya bakal dipanggil nomor nya tapi nomor nya manual :(,kok bengkel toyota payah banget sih . tembunge bakal diulemi nomore nanging nomore manual :(,neutral,neutral,neutral,neutral,neutral,negative
cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,cukup 10 menit kanggo resiki injektor montor injeksi yamaha :d artine montor injeksi ymh pangopenan murah  &  gampang,neutral,neutral,neutral,neutral,neutral,positive
"Kekurangan dari Formo sekilas: minim fitur safety, kualitas finishing interior jelek.","kakurangan saka formo sabrebetan: minim fitur safety, kualitas finishing interior elek.",neutral,neutral,neutral,negative,neutral,neutral
Susah banget telepon buat booking servis auto 2000 toyota ! Masa gue harus booking ke sana sih :(,angel banget telpon gawe booking servis auto 2000 toyota ! masa aku  kudu booking mrana sih :(,neutral,neutral,neutral,neutral,neutral,negative
Yamaha motor injeksi nya lebih mudah dan murah perawatan nya,yamaha montor injeksine luwih gampang lan murah perawatane,neutral,neutral,neutral,neutral,neutral,positive
"Pengalaman pakai HRV 1.5 E , berisik shockbreaker pas di tol cikampek dan terbanting-banting kalau duduk di belakang","pengalaman anggo hrv 1.5 e , rame shockbreaker trep ing tol cikampek lan terbanting-banting yen lungguh ing wuri",neutral,neutral,neutral,negative,neutral,neutral
"Honda Beat bahan bakar sangat irit , ringan buat menyalip di jalanan macet , mesin tarikan enteng banget .","honda beat bahan obong irit banget , entheng gawe menyalip ing ratanan macet , mesin tarikan enteng banget .",positive,positive,positive,neutral,neutral,neutral
Mobil WULING CONFERO sangat layak untuk dipilih dan DIBELI sebagai mobil MPV yang nyaman dengan harga terjangkau .,mobil wuling confero pantes banget kanggo dipilih lan dituku dadi mobil mpv kang kepenak karo rega terjangkau .,neutral,neutral,neutral,neutral,positive,neutral
Memilih Terios baru rasanya tidak keliru,milih terios anyar rasane ora kliru,neutral,neutral,positive,neutral,neutral,neutral
"Xenia irit banget apalagi kalau lagi kere . coba matikan saja ac - nya , bisa jalan-jalan dengan 25.000 rupiah .","xenia irit banget apa maneh yen lagi kere . jajal matikan wae ac -e , bisa jalan-jalan karo 25.000 rupiyah .",positive,neutral,neutral,neutral,neutral,neutral
Mobil wuling confero S nyaman dipakai di medan petualangan .,mobil wuling confero s kepenak dianggo ing medan petualangan .,neutral,neutral,positive,neutral,neutral,neutral
Puas banget sama after sales-nya Nissan.,marem banget padha after sales-e nissan.,neutral,neutral,neutral,neutral,neutral,positive
"Avanza mudah dalam perawatan ,","avanza gampang jero pangopenan ,",neutral,neutral,neutral,neutral,neutral,positive
"kalau soal mesin dan bentuk toplah yamaha , kayak sekarang saya pakai nmax 2018 yang memang sudah lama saya incar , dari bentuk saya suka sekali .","yen soal mesin lan wangun toplah yamaha , kaya saiki aku anggo nmax 2018 kang pancen wis suwening aku incar , saka wangun aku remen banget .",neutral,positive,neutral,positive,neutral,neutral
"masalah nya , Xenia 2005 kadang-kadang dasbor bunyi ,","masalahe , xenia 2005 kadhang-kadhang dasbor uni ,",neutral,neutral,neutral,negative,neutral,neutral
"Dan cabin nya juga lebih luas fortuner , kalau pajero sempit apalagi di bagian depan","lan cabine uga luwih jembar fortuner , yen pajero ciyut apa maneh ing perangan ngarep",neutral,neutral,neutral,negative,neutral,neutral
"Service bengkel pinggir jalan dibilang jelek hasil service di dealer resmi pelayanan jelek , scumbag honda","service bengkel pinggiring dalan dietung elek kasil service ing dealer resmi pelayanan elek , scumbag honda",neutral,neutral,neutral,neutral,neutral,negative
selama ini pakai xexi lumayan enak dan nyaman juga .,lawase iki anggo xexi lumayan sekeca lan kepenak uga .,neutral,neutral,positive,neutral,neutral,neutral
"rata-rata bbm - nya luar kota juga bisa sampai 1:16 , irit banget mitsubishi","rata-rata bbm -e jabaning kutha uga bisa tekan 1:16 , irit banget mitsubishi",positive,neutral,neutral,neutral,neutral,neutral
"1 kelemahan xenia , DUDUK DI BARIS PALING BELAKANG KAYAK NAIK UNTA ! GILA BERASA BANGET PUYENGNYA .","1 kelemahan xenia , lungguh ing baris paling wuri kaya munggah unta ! edan krasa banget puyenge .",neutral,neutral,neutral,negative,neutral,neutral
Tapi yang sangat jelek dari Freed adalah tarikan nya .,nanging kang elek banget saka freed yaiku tarikane .,neutral,negative,neutral,neutral,neutral,neutral
Fortuner Itu Mobil Tenaga nya Lemah Harga Selangit,fortuner iku mobil tenagane ringkih rega selangit,neutral,negative,neutral,neutral,negative,neutral
saya saranin beli vario aja suku cadang meadai purnajual juga oke,aku saranin tuku vario wae suku cadang meadai purnajual uga oke,neutral,neutral,neutral,positive,positive,neutral
"brio gak cocok dibawa pergi ke medan yang susah, lemah dia","brio ora cocog digawa lunga menyang medan kang angel, ringkih dheweke",neutral,neutral,positive,neutral,neutral,neutral
"Simpel cocok dijuluki untuk nya Honda beat makin bertambah gaya desain minimalis namun juara di kelas nya , bahan bakar juara nya hemat ramah dan bersahabat dengan saku maupun di dompet , sukses selalu Honda one Heart","simpel cocog ingaran kanggone honda beat saya tambah  gaya desain minimalis nanging juara ing kelase , bahan obong juarane gemi grapyak lan kekancan karo sak  utawa ing dompet , sukses tansah honda one heart",positive,neutral,neutral,positive,positive,neutral
"Soal tenaga yang kurang di ertiga juga agak mengganggu ,","soal tenaga kang kurang ing ertiga uga rada ngganggu ,",neutral,negative,neutral,neutral,neutral,neutral
"New Veloz saya rasa udah banyak improvement nya , terutama di bagian suspensi nya dibanding sebelumnya . Mental mentul , body roll , limbung sudah berkurang .","new veloz aku raos wis akeh improvemente , utamane ing perangan suspensine dibandhingake sadurunge . mental mentul , body roll , limbung wis suda .",neutral,neutral,neutral,positive,neutral,neutral
@DaihatsuInd banyak yang mengeluh servis ke 2 di astra daihatsu mahal . tolong edukasikan ke bengkel-bengkel resmi jangan mainin harga atau sparepart yang bagus gak perlu diganti,@daihatsuind akeh kang ngresula servis menyang 2 ing astra daihatsu larang . tulung edukasikan menyang bengkel-bengkel resmi aja mainin rega utawa sparepart kang apik ora prelu digantos,neutral,neutral,neutral,neutral,neutral,negative
terus radio nya HRV nyala sendiri dengan volume maksimal . enggak bisa dimatikan dan dikecilkan .,terus radhione hrv nyala dhewe karo volume maksimal . ora bisa dimatikan lan dikecilkan .,neutral,neutral,neutral,negative,neutral,neutral
"wah AVS kamu irit banget kak , AVG saya saja sekitar 1:8 sampai 1:9 memang macet sih jalanan .","wah avs kowe irit banget kak , avg aku wae sawatara 1:8 tekan 1:9 pancen macet sih dalanan .",positive,neutral,neutral,neutral,neutral,neutral
"Fortuner adalah mobil impian saya . Ini adalah suv mahal memang , tetapi sepadan .","fortuner yaiku mobil ngimpi aku . iki yaiku suv larang pancen , nanging sepadan .",neutral,neutral,neutral,neutral,negative,neutral
"kalau melihat spesifikasi nya, harga ertiga cukup ramah di kantong","yen weruh spesifikasine, rega ertiga cukup grapyak ing kantong",neutral,neutral,neutral,neutral,positive,neutral
Ternyata perawatan yamaha rata rata lebih murah dari kompetitor .,jebul pangopenan yamaha rata rata luwih murah saka kompetitor .,neutral,neutral,neutral,neutral,neutral,positive
"Sudah dua tahun saya memiliki motor Honda Beat ini , motor ini keseharian nya saya pergunakan untuk antar anak sekolah dan bekerja . Motor yang lumayan gesit , lincah dan irit BBM .","wis rong taun aku nduweni montor honda beat iki , montor iki kesehariane aku pigunakake kanggo antar bocah sekola lan nyambut gawe . montor kang lumayan gesit , lincah lan irit bbm .",positive,positive,neutral,neutral,neutral,neutral
Pajero mempunyai mesin yang lebih bertenaga dan banyak fitur,pajero nduweni mesin kang luwih duwe tenaga lan akeh fitur,neutral,positive,neutral,positive,neutral,neutral
suzuki ignis dan Daihatsu sirion harga jual nya juga enggak stabil,suzuki ignis lan daihatsu sirion rega juale uga ora stabil,neutral,neutral,neutral,neutral,negative,neutral
kalau menurut gue suspensi avanza agak aneh . kalau cuma berdua suspensi nya berasa keras banget . tetapi kalau diisi penuh 6 - 7 orang suspensi nya mantap betul .,yen manut aku  suspensi avanza rada aneh . yen namung berdua suspensine krasa keras banget . nanging yen diisi kebak 6 -7 wong suspensine mantep bener .,neutral,neutral,neutral,negative,neutral,neutral
"kalau sudah di atas 120 km / jam boros banget avanza saya , terus kopling nya memang agak keras juragan .","yen wis ing dhuwur 120 km / jam boros banget avanza aku , terus koplinge pancen rada keras juragan .",negative,neutral,neutral,negative,neutral,neutral
"Pertama kali memiliki mobil ini rasanya seperti mimpi , karena setelah dapat mobil ternyata menang undian juga 10 juta rupiah dari Daihatsu . Mobil irit , servis mudah dan murah .","kaping kapisan nduweni mobil iki rasane kaya ngimpi , amarga sawise oleh mobil jebul menang undian uga 10 yuta rupiyah saka daihatsu . mobil irit , servis gampang lan murah .",positive,neutral,neutral,neutral,neutral,positive
mendingan vrz 4*4 sekalian fitur lengkap spoiler bisa beli di toko variasi,mendingan vrz 4*4 sekalian fitur pepak spoiler bisa tuku ing toko variasi,neutral,neutral,neutral,positive,neutral,neutral
Rush konde konsumsi BBM yang tetap irit .,rush konde konsumsi bbm kang tetep irit .,negative,neutral,neutral,neutral,neutral,neutral
Xenia memang masih kurang dari segi keamanan nya . Air bag - nya kagak ada bos .,xenia pancen isih kurang saka segi kaamanane . banyu bag -e kagak ana bos .,neutral,neutral,neutral,positive,neutral,neutral
Pajero sport Dakar memang di atas Fortuner,pajero sport dakar pancen ing dhuwur fortuner,neutral,neutral,negative,neutral,neutral,neutral
Dulu gue enggak suka sama xpander .,dhisik aku  ora remen padha xpander .,neutral,neutral,negative,neutral,neutral,neutral
Altis gen 11 pas lah buat yang cari kenyamanan berkendara,altis gen 11 trep lah nggo kang golek kenyamanan berkendara,neutral,neutral,positive,neutral,neutral,neutral
"Fortuner saya kok setir nya agak enggak enak gitu , ya . Enggak luwes .","fortuner aku kok setire rada ora sekeca ngono , ya . ora luwes .",neutral,neutral,neutral,negative,neutral,neutral
Putaran bawah mesin fortuner sangat kuat,puteran ngisoring mesin fortuner kuwat banget,neutral,positive,neutral,neutral,neutral,neutral
jujur fortuner ini bandel banget dipakai di medan apa pun,jujur fortuner iki bandel banget dianggo ing medan apa wae,neutral,positive,neutral,neutral,neutral,neutral
pengalaman saya punya avanza bahan bakar nya lebih hemat daripada ketika saya punya xenia,pengalaman aku nduwe avanza bahan bakare luwih gemi daripada nalika aku nduwe xenia,negative,neutral,neutral,neutral,neutral,neutral
"kemarin saya di honda brio , baru 2 tahun pakai dan jarang dipakai kaki-kaki sudah bunyi , rem cepat habis , sama sil booster rem atau master rem yang rembes","wingi aku ing honda brio , anyar 2 taun anggo lan arang dianggo kaki-kaki wis uni , rem cepet entek , padha sil booster rem utawa master rem kang rembes",neutral,neutral,neutral,negative,neutral,neutral
"Sirion ini terlalu overpriced bos , bisa ngga laku di indonesia","sirion iki terlalu overpriced bos , bisa ora payu ing indonesia",neutral,neutral,negative,neutral,negative,neutral
xenia ini mobil paling jelek yang pernah saya punya,xenia iki mobil paling elek kang tau aku nduwe,neutral,neutral,negative,neutral,neutral,neutral
saya akui enak banget Hrv ini mengendarai punya saudara pakai Hrv,aku akoni sekeca banget hrv iki mengendarai nduwe sedulur anggo hrv,neutral,neutral,positive,neutral,neutral,neutral
